UNICODE	文字	重複数	Win31J代表コード	Win31J副コード
7930	礰	2	FB7C:#CJK UNIFIED IDEOGRAPH	EE60
7994	禔	2	FB81:#CJK UNIFIED IDEOGRAPH	EE64
799B	禛	2	FB83:#CJK UNIFIED IDEOGRAPH	EE66
7AD1	竑	2	FB84:#CJK UNIFIED IDEOGRAPH	EE67
7AE7	竧	2	FB85:#CJK UNIFIED IDEOGRAPH	EE68
7AEB	竫	2	FB87:#CJK UNIFIED IDEOGRAPH	EE6A
7B9E	箞	2	FB88:#CJK UNIFIED IDEOGRAPH	EE6B
7D48	絈	2	FB8A:#CJK UNIFIED IDEOGRAPH	EE6D
7D5C	絜	2	FB8B:#CJK UNIFIED IDEOGRAPH	EE6E
7DA0	綠	2	FB8D:#CJK UNIFIED IDEOGRAPH	EE70
7DB7	綷	2	FB8C:#CJK UNIFIED IDEOGRAPH	EE6F
7DD6	緖	2	FB8E:#CJK UNIFIED IDEOGRAPH	EE71
7E52	繒	2	FB8F:#CJK UNIFIED IDEOGRAPH	EE72
7E8A	纊	2	FA5C:#CJK UNIFIED IDEOGRAPH	ED40
7F47	罇	2	FB90:#CJK UNIFIED IDEOGRAPH	EE73
7FA1	羡	2	FB91:#CJK UNIFIED IDEOGRAPH	EE74
8301	茁	2	FB93:#CJK UNIFIED IDEOGRAPH	EE76
8362	荢	2	FB94:#CJK UNIFIED IDEOGRAPH	EE77
837F	荿	2	FB95:#CJK UNIFIED IDEOGRAPH	EE78
83C7	菇	2	FB96:#CJK UNIFIED IDEOGRAPH	EE79
83F6	菶	2	FB97:#CJK UNIFIED IDEOGRAPH	EE7A
8448	葈	2	FB98:#CJK UNIFIED IDEOGRAPH	EE7B
84B4	蒴	2	FB99:#CJK UNIFIED IDEOGRAPH	EE7C
84DC	蓜	2	FA60:#CJK UNIFIED IDEOGRAPH	ED44
8553	蕓	2	FB9A:#CJK UNIFIED IDEOGRAPH	EE7D
8559	蕙	2	FB9B:#CJK UNIFIED IDEOGRAPH	EE7E
856B	蕫	2	FB9C:#CJK UNIFIED IDEOGRAPH	EE80
